home_win,home_cur_year_avg_weighted,home_total_points,away_cur_year_avg_weighted,away_total_points,home_last_year_avg,away_last_year_avg,home_two_year_ago_avg,away_two_year_ago_avg,CAF,CONCACAF,CONMEBOL,OFC,UEFA,gdp_pp_diff,rank_diff
0,111.48,254.19,324.72,609.91,201.03,384.56,110.58,109.26,0,0,0,0,0,-37477.0,70
2,402.44,777.74,194.21,493.79,363.62,324.72,387.14,384.56,0,0,0,0,1,-46607.0,-34
1,177.69,464.33,112.77,318.19,271.29,294.07,297.53,87.87,0,0,0,0,0,-48273.0,-31
0,0.0,52.3,246.75,543.38,0.0,372.94,112.02,279.5,0,0,0,0,0,14406.0,126
2,84.08,233.3,242.31,417.38,201.22,176.91,88.03,187.16,0,0,0,0,0,-54582.0,58
1,373.61,947.03,143.97,461.99,692.51,360.2,411.89,380.91,0,0,0,0,1,-17293.0,-47
1,188.04,480.71,131.57,323.33,226.44,264.67,308.12,95.85,0,0,0,0,0,-15876.0,-33
0,127.5,155.42,242.31,417.38,35.19,176.91,0.0,187.16,0,0,0,0,0,-50255.0,82
2,236.3,517.42,384.56,562.38,245.47,122.58,377.77,297.06,0,0,0,0,0,12982.0,4
1,219.15,458.52,327.46,600.62,228.05,360.64,245.05,160.94,0,0,0,0,0,12982.0,15
2,213.96,476.21,246.75,543.38,271.9,372.94,326.13,279.5,0,0,0,0,0,12982.0,10
0,79.33,121.01,372.94,640.51,57.86,341.61,42.5,112.77,0,0,0,0,0,-51253.0,124
0,54.16,156.81,112.77,318.19,16.51,294.07,210.59,87.87,0,0,0,0,0,-54582.0,48
0,142.76,291.96,153.04,408.39,168.83,336.89,94.5,233.17,0,0,0,0,0,-16399.0,30
2,133.79,511.93,259.17,464.06,377.42,277.9,271.38,131.58,0,0,0,0,1,2345.0,-12
0,222.58,351.32,213.96,476.21,101.58,271.9,166.8,326.13,0,0,0,0,0,-22781.0,28
2,222.58,351.32,213.96,476.21,101.58,271.9,166.8,326.13,0,0,0,0,0,-22781.0,28
0,115.87,268.96,153.04,408.39,89.54,336.89,163.36,233.17,0,0,0,0,0,-51241.0,34
1,154.67,323.62,219.15,458.52,143.34,228.05,205.01,245.05,0,0,0,0,0,-51241.0,28
2,288.23,437.62,213.96,476.21,91.69,271.9,235.5,326.13,0,0,0,0,0,-51241.0,6
0,62.95,127.36,275.43,495.36,62.42,171.15,73.28,328.17,0,0,0,0,0,-39374.0,104
1,216.83,588.18,153.04,408.39,445.05,336.89,228.08,233.17,0,0,0,0,0,-48215.0,-29
1,47.49,328.54,153.04,408.39,237.59,336.89,246.99,233.17,0,0,0,0,0,-18363.0,20
1,360.57,621.67,256.84,521.45,253.52,236.3,289.4,242.2,0,0,0,0,0,-18363.0,-13
0,84.64,302.73,291.77,499.05,203.6,277.9,103.14,145.7,0,0,0,0,1,-57601.0,36
2,240.51,563.27,153.04,408.39,208.37,336.89,396.79,233.17,0,0,0,0,0,-25586.0,-26
