,Player,Country,Pos,Birthday,Age,Caps,Club,Club Country
330,Björn Bergmann Sigurðarson,Iceland,FW,1991-02-26,27,12,Rostov,Russia
331,Gylfi Sigurðsson,Iceland,MF,1989-09-08,28,57,Everton,England
332,Alfreð Finnbogason,Iceland,FW,1989-02-01,29,47,FC Augsburg,Germany
333,Frederik Schram,Iceland,GK,1995-01-19,23,4,Roskilde,Denmark
334,Rúnar Alex Rúnarsson,Iceland,GK,1995-02-18,23,3,Nordsjælland,Denmark
335,Kári Árnason,Iceland,DF,1982-10-13,35,67,Aberdeen,Scotland
336,Hólmar Örn Eyjólfsson,Iceland,DF,1990-08-06,27,10,Levski Sofia,Bulgaria
337,Ólafur Ingi Skúlason,Iceland,MF,1983-04-01,35,36,Kardemir Karabükspor,Turkey
338,Aron Gunnarsson,Iceland,MF,1989-04-22,29,77,Cardiff City,Wales
339,Hörður Björgvin Magnússon,Iceland,DF,1993-02-11,25,16,Bristol City,England
340,Rúrik Gíslason,Iceland,MF,1988-02-25,30,47,SV Sandhausen,Germany
341,Emil Hallfreðsson,Iceland,MF,1984-06-29,33,64,Udinese,Italy
342,Arnór Ingvi Traustason,Iceland,MF,1993-04-30,25,19,Malmö,Sweden
343,Jón Daði Böðvarsson,Iceland,FW,1992-05-25,26,38,Reading,England
344,Ari Freyr Skúlason,Iceland,DF,1987-05-14,31,56,Lokeren,Belgium
345,Ikechukwu Ezenwa,Nigeria,GK,1988-10-16,29,24,Enyimba,Nigeria
346,Brian Idowu,Nigeria,DF,1992-05-18,26,5,Amkar Perm,Russia
347,Elderson Echiéjilé,Nigeria,DF,1988-01-20,30,62,Cercle Brugge,Belgium
348,Wilfred Ndidi,Nigeria,MF,1996-12-16,21,17,Leicester City,England
349,William Troost-Ekong,Nigeria,DF,1993-09-01,24,22,Bursaspor,Turkey
350,Leon Balogun,Nigeria,DF,1988-06-28,29,19,Mainz 05,Germany
351,Ahmed Musa,Nigeria,FW,1992-10-14,25,72,CSKA Moscow,Russia
352,Oghenekaro Etebo,Nigeria,MF,1995-11-09,22,14,Las Palmas,Spain
353,Odion Ighalo,Nigeria,FW,1989-06-16,28,19,Changchun Yatai,China
354,John Obi Mikel,Nigeria,MF,1987-04-22,31,85,Tianjin TEDA,China
355,Victor Moses,Nigeria,FW,1990-12-12,27,34,Chelsea,England
356,Shehu Abdullahi,Nigeria,DF,1993-03-12,25,25,Bursaspor,Turkey
357,Simeon Nwankwo,Nigeria,FW,1992-05-07,26,2,Crotone,Italy
358,Kelechi Iheanacho,Nigeria,FW,1996-03-10,22,18,Leicester City,England
359,Joel Obi,Nigeria,MF,1991-05-22,27,17,Torino,Italy
360,Daniel Akpeyi,Nigeria,GK,1986-03-08,32,7,Chippa United,South Africa
361,Ogenyi Onazi,Nigeria,MF,1992-12-25,25,52,Trabzonspor,Turkey
362,Alex Iwobi,Nigeria,FW,1996-05-03,22,19,Arsenal,England
363,John Ogu,Nigeria,MF,1988-04-20,30,20,Hapoel Be'er Sheva,Israel
364,Chidozie Awaziem,Nigeria,DF,1997-01-01,21,4,Nantes,France
365,Tyronne Ebuehi,Nigeria,DF,1995-12-16,22,7,ADO Den Haag,Netherlands
366,Kenneth Omeruo,Nigeria,DF,1993-10-17,24,39,Kasımpaşa,Turkey
367,Francis Uzoho,Nigeria,GK,1998-10-28,19,6,Deportivo La Coruña,Spain
368,Alisson,Brazil,GK,1992-10-02,25,26,Roma,Italy
369,Thiago Silva,Brazil,DF,1984-09-22,33,71,Paris Saint-Germain,France
370,Miranda,Brazil,DF,1984-09-07,33,47,Inter Milan,Italy
371,Pedro Geromel,Brazil,DF,1985-09-21,32,2,Grêmio,Brazil
372,Casemiro,Brazil,MF,1992-02-23,26,24,Real Madrid,Spain
373,Filipe Luís,Brazil,DF,1985-08-09,32,33,Atlético Madrid,Spain
374,Douglas Costa,Brazil,FW,1990-09-14,27,25,Juventus,Italy
375,Renato Augusto,Brazil,MF,1988-02-08,30,28,Beijing Sinobo Guoan,China
376,Gabriel Jesus,Brazil,FW,1997-04-03,21,17,Manchester City,England
377,Neymar,Brazil,FW,1992-02-05,26,85,Paris Saint-Germain,France
378,Philippe Coutinho,Brazil,MF,1992-06-12,26,37,Barcelona,Spain
379,Marcelo,Brazil,DF,1988-05-12,30,54,Real Madrid,Spain
380,Marquinhos,Brazil,DF,1994-05-14,24,26,Paris Saint-Germain,France
381,Danilo,Brazil,DF,1991-07-15,26,18,Manchester City,England
382,Paulinho,Brazil,MF,1988-07-25,29,50,Barcelona,Spain
383,Cássio,Brazil,GK,1987-06-06,31,1,Corinthians,Brazil
384,Fernandinho,Brazil,MF,1985-05-04,33,44,Manchester City,England
385,Fred,Brazil,MF,1993-03-05,25,8,Shakhtar Donetsk,Ukraine
386,Willian,Brazil,MF,1988-08-09,29,57,Chelsea,England
387,Roberto Firmino,Brazil,FW,1991-10-02,26,21,Liverpool,England
388,Taison,Brazil,FW,1988-01-13,30,8,Shakhtar Donetsk,Ukraine
389,Fagner,Brazil,DF,1989-06-11,29,4,Corinthians,Brazil
390,Ederson,Brazil,GK,1993-08-17,24,1,Manchester City,England
391,Keylor Navas,Costa Rica,GK,1986-12-15,31,81,Real Madrid,Spain
392,Johnny Acosta,Costa Rica,DF,1983-07-21,34,69,Águilas Doradas,Colombia
393,Giancarlo González,Costa Rica,DF,1988-02-08,30,70,Bologna,Italy
394,Ian Smith,Costa Rica,DF,1998-03-06,20,4,Norrköping,Sweden
395,Celso Borges,Costa Rica,MF,1988-05-27,30,113,Deportivo La Coruña,Spain
396,Óscar Duarte,Costa Rica,DF,1989-06-03,29,39,Espanyol,Spain
397,Christian Bolaños,Costa Rica,MF,1984-05-17,34,81,Saprissa,Costa Rica
398,Bryan Oviedo,Costa Rica,DF,1990-02-18,28,44,Sunderland,England
399,Daniel Colindres,Costa Rica,MF,1985-01-10,33,11,Saprissa,Costa Rica
400,Bryan Ruiz,Costa Rica,MF,1985-08-18,32,110,Sporting CP,Portugal
401,Johan Venegas,Costa Rica,FW,1988-11-27,29,47,Saprissa,Costa Rica
402,Joel Campbell,Costa Rica,FW,1992-06-26,25,77,Real Betis,Spain
403,Rodney Wallace,Costa Rica,MF,1988-06-17,29,30,New York City FC,United States
404,Randall Azofeifa,Costa Rica,MF,1984-12-30,33,58,Herediano,Costa Rica
405,Francisco Calvo,Costa Rica,DF,1992-07-08,25,38,Minnesota United,United States
406,Cristian Gamboa,Costa Rica,DF,1989-10-24,28,68,Celtic,Scotland
407,Yeltsin Tejeda,Costa Rica,MF,1992-03-17,26,51,Lausanne,Switzerland
408,Patrick Pemberton,Costa Rica,GK,1982-04-24,36,39,Alajuelense,Costa Rica
409,Kendall Waston,Costa Rica,DF,1988-01-01,30,26,Vancouver Whitecaps FC,Canada
410,David Guzmán,Costa Rica,MF,1990-02-18,28,43,Portland Timbers,United States
411,Marco Ureña,Costa Rica,FW,1990-03-05,28,64,Los Angeles FC,United States
412,Kenner Gutiérrez,Costa Rica,DF,1989-06-09,29,9,Alajuelense,Costa Rica
413,Leonel Moreira,Costa Rica,GK,1990-04-02,28,9,Herediano,Costa Rica
414,Vladimir Stojković,Serbia,GK,1983-07-28,34,81,Partizan,Serbia
415,Antonio Rukavina,Serbia,DF,1984-01-26,34,47,Villarreal,Spain
416,Duško Tošić,Serbia,DF,1985-01-19,33,24,Beşiktaş,Turkey
417,Luka Milivojević,Serbia,MF,1991-04-07,27,28,Crystal Palace,England
418,Uroš Spajić,Serbia,DF,1993-02-13,25,5,Anderlecht,Belgium
419,Branislav Ivanović,Serbia,DF,1984-02-22,34,103,Zenit Saint Petersburg,Russia
420,Andrija Živković,Serbia,MF,1996-07-11,21,10,Benfica,Portugal
421,Aleksandar Prijović,Serbia,FW,1990-04-21,28,9,PAOK,Greece
422,Aleksandar Mitrović,Serbia,FW,1994-09-16,23,37,Fulham,England
423,Dušan Tadić,Serbia,MF,1988-11-20,29,53,Southampton,England
424,Aleksandar Kolarov,Serbia,DF,1985-11-10,32,76,Roma,Italy
425,Predrag Rajković,Serbia,GK,1995-10-31,22,8,Maccabi Tel Aviv,Israel
426,Miloš Veljković,Serbia,DF,1995-09-26,22,2,Werder Bremen,Germany
427,Milan Rodić,Serbia,DF,1991-04-02,27,1,Red Star Belgrade,Serbia
428,Nikola Milenković,Serbia,DF,1997-10-12,20,3,Fiorentina,Italy
429,Marko Grujić,Serbia,MF,1996-04-13,22,8,Cardiff City,Wales
430,Filip Kostić,Serbia,MF,1992-11-01,25,23,Hamburger SV,Germany
431,Nemanja Radonjić,Serbia,FW,1996-02-15,22,3,Red Star Belgrade,Serbia
432,Luka Jović,Serbia,FW,1997-12-23,20,1,Eintracht Frankfurt,Germany
433,Sergej Milinković-Savić,Serbia,MF,1995-02-27,23,4,Lazio,Italy
434,Nemanja Matić,Serbia,MF,1988-08-01,29,40,Manchester United,England
435,Adem Ljajić,Serbia,MF,1991-09-29,26,29,Torino,Italy
436,Marko Dmitrović,Serbia,GK,1992-01-24,26,2,Eibar,Spain
437,Yann Sommer,Switzerland,GK,1988-12-17,29,35,Borussia Mönchengladbach,Germany
438,Stephan Lichtsteiner,Switzerland,DF,1984-01-16,34,100,Juventus,Italy
439,François Moubandje,Switzerland,DF,1990-06-21,27,18,Toulouse,France
440,Nico Elvedi,Switzerland,DF,1996-09-30,21,6,Borussia Mönchengladbach,Germany
441,Manuel Akanji,Switzerland,DF,1995-07-19,22,7,Borussia Dortmund,Germany
442,Michael Lang,Switzerland,DF,1991-02-08,27,24,Basel,Switzerland
443,Breel Embolo,Switzerland,FW,1997-02-14,21,25,Schalke 04,Germany
444,Remo Freuler,Switzerland,MF,1992-04-15,26,10,Atalanta,Italy
445,Haris Seferović,Switzerland,FW,1992-02-22,26,51,Benfica,Portugal
446,Granit Xhaka,Switzerland,MF,1992-09-27,25,62,Arsenal,England
447,Valon Behrami,Switzerland,MF,1985-04-19,33,79,Udinese,Italy
448,Yvon Mvogo,Switzerland,GK,1994-06-06,24,0,RB Leipzig,Germany
449,Ricardo Rodríguez,Switzerland,DF,1992-08-25,25,53,Milan,Italy
450,Steven Zuber,Switzerland,MF,1991-08-17,26,12,1899 Hoffenheim,Germany
451,Blerim Džemaili,Switzerland,MF,1986-04-12,32,65,Bologna,Italy
452,Gelson Fernandes,Switzerland,MF,1986-09-02,31,67,Eintracht Frankfurt,Germany
453,Denis Zakaria,Switzerland,MF,1996-11-20,21,10,Borussia Mönchengladbach,Germany
454,Mario Gavranović,Switzerland,FW,1989-11-24,28,14,Dinamo Zagreb,Croatia
455,Josip Drmić,Switzerland,FW,1992-08-08,25,29,Borussia Mönchengladbach,Germany
456,Johan Djourou,Switzerland,DF,1987-01-18,31,74,Antalyaspor,Turkey
457,Roman Bürki,Switzerland,GK,1990-11-14,27,9,Borussia Dortmund,Germany
458,Fabian Schär,Switzerland,DF,1991-12-20,26,39,Deportivo La Coruña,Spain
459,Xherdan Shaqiri,Switzerland,MF,1991-10-10,26,70,Stoke City,England
460,Manuel Neuer,Germany,GK,1986-03-27,32,76,Bayern Munich,Germany
461,Marvin Plattenhardt,Germany,DF,1992-01-26,26,6,Hertha BSC,Germany
462,Jonas Hector,Germany,DF,1990-05-27,28,38,1. FC Köln,Germany
463,Matthias Ginter,Germany,DF,1994-01-19,24,18,Borussia Mönchengladbach,Germany
464,Mats Hummels,Germany,DF,1988-12-16,29,64,Bayern Munich,Germany
465,Sami Khedira,Germany,MF,1987-04-04,31,75,Juventus,Italy
466,Julian Draxler,Germany,MF,1993-09-20,24,44,Paris Saint-Germain,France
467,Toni Kroos,Germany,MF,1990-01-04,28,83,Real Madrid,Spain
468,Timo Werner,Germany,FW,1996-03-06,22,14,RB Leipzig,Germany
469,Mesut Özil,Germany,MF,1988-10-15,29,90,Arsenal,England
470,Marco Reus,Germany,FW,1989-05-31,29,31,Borussia Dortmund,Germany
471,Kevin Trapp,Germany,GK,1990-07-08,27,3,Paris Saint-Germain,France
472,Thomas Müller,Germany,MF,1989-09-13,28,91,Bayern Munich,Germany
473,Leon Goretzka,Germany,MF,1995-02-06,23,15,Schalke 04,Germany
474,Niklas Süle,Germany,DF,1995-09-03,22,11,Bayern Munich,Germany
475,Antonio Rüdiger,Germany,DF,1993-03-03,25,24,Chelsea,England
476,Jérôme Boateng,Germany,DF,1988-09-03,29,71,Bayern Munich,Germany
477,Joshua Kimmich,Germany,DF,1995-02-08,23,29,Bayern Munich,Germany
478,Sebastian Rudy,Germany,MF,1990-02-28,28,25,Bayern Munich,Germany
479,Julian Brandt,Germany,MF,1996-05-02,22,16,Bayer Leverkusen,Germany
480,İlkay Gündoğan,Germany,MF,1990-10-24,27,26,Manchester City,England
481,Marc-André ter Stegen,Germany,GK,1992-04-30,26,20,Barcelona,Spain
482,Mario Gómez,Germany,FW,1985-07-10,32,75,VfB Stuttgart,Germany
483,José de Jesús Corona,Mexico,GK,1981-01-26,37,52,Cruz Azul,Mexico
484,Hugo Ayala,Mexico,DF,1987-03-31,31,43,UANL,Mexico
485,Carlos Salcedo,Mexico,DF,1993-09-29,24,21,Eintracht Frankfurt,Germany
486,Rafael Márquez,Mexico,DF,1979-02-13,39,145,Atlas,Mexico
487,Érick Gutiérrez,Mexico,MF,1995-06-15,22,9,Pachuca,Mexico
488,Jonathan dos Santos,Mexico,MF,1990-04-26,28,32,LA Galaxy,United States
489,Miguel Layún,Mexico,MF,1988-06-25,29,64,Sevilla,Spain
490,Marco Fabián,Mexico,FW,1989-07-21,28,39,Eintracht Frankfurt,Germany
491,Raúl Jiménez,Mexico,FW,1991-05-05,27,63,Benfica,Portugal
492,Giovani dos Santos,Mexico,MF,1989-05-11,29,105,LA Galaxy,United States
493,Carlos Vela,Mexico,FW,1989-03-01,29,68,Los Angeles FC,United States
494,Alfredo Talavera,Mexico,GK,1982-09-18,35,27,Toluca,Mexico
495,Guillermo Ochoa,Mexico,GK,1985-07-13,32,94,Standard Liège,Belgium
496,Javier Hernández,Mexico,FW,1988-06-01,30,102,West Ham United,England
497,Héctor Moreno,Mexico,DF,1988-01-17,30,92,Real Sociedad,Spain
498,Héctor Herrera,Mexico,DF,1990-04-19,28,66,Porto,Portugal
499,Jesús Manuel Corona,Mexico,MF,1993-01-06,25,36,Porto,Portugal
500,Andrés Guardado,Mexico,MF,1986-09-28,31,145,Real Betis,Spain
501,Oribe Peralta,Mexico,FW,1984-01-12,34,67,América,Mexico
502,Javier Aquino,Mexico,MF,1990-02-11,28,53,UANL,Mexico
503,Edson Álvarez,Mexico,DF,1997-10-24,20,13,América,Mexico
504,Hirving Lozano,Mexico,FW,1995-07-30,22,28,PSV Eindhoven,Netherlands
505,Jesús Gallardo,Mexico,MF,1994-08-15,23,23,UNAM,Mexico
506,Kim Seung-gyu,South Korea,GK,1990-09-30,27,33,Vissel Kobe,Japan
507,Lee Yong,South Korea,DF,1986-12-24,31,28,Jeonbuk Hyundai Motors,South Korea
508,Jung Seung-hyun,South Korea,DF,1994-04-03,24,6,Sagan Tosu,Japan
509,Oh Ban-suk,South Korea,DF,1988-05-20,30,2,Jeju United,South Korea
510,Yun Young-sun,South Korea,DF,1988-10-04,29,6,Seongnam FC,South Korea
511,Park Joo-ho,South Korea,DF,1987-01-16,31,36,Ulsan Hyundai,South Korea
512,Son Heung-min,South Korea,FW,1992-07-08,25,67,Tottenham Hotspur,England
513,Ju Se-jong,South Korea,MF,1990-10-30,27,11,Asan Mugunghwa,South Korea
514,Kim Shin-wook,South Korea,FW,1988-04-14,30,50,Jeonbuk Hyundai Motors,South Korea
515,Lee Seung-woo,South Korea,MF,1998-01-06,20,4,Hellas Verona,Italy
516,Hwang Hee-chan,South Korea,FW,1996-01-26,22,14,Red Bull Salzburg,Austria
517,Kim Min-woo,South Korea,DF,1990-02-25,28,20,Sangju Sangmu,South Korea
518,Koo Ja-cheol,South Korea,MF,1989-02-27,29,68,FC Augsburg,Germany
519,Hong Chul,South Korea,DF,1990-09-17,27,14,Sangju Sangmu,South Korea
520,Jung Woo-young,South Korea,MF,1989-12-14,28,30,Vissel Kobe,Japan
521,Ki Sung-yueng,South Korea,MF,1989-01-24,29,102,Swansea City,Wales
522,Lee Jae-sung,South Korea,MF,1992-08-10,25,35,Jeonbuk Hyundai Motors,South Korea
523,Moon Seon-min,South Korea,MF,1992-06-09,26,3,Incheon United,South Korea
524,Kim Young-gwon,South Korea,DF,1990-02-27,28,53,Guangzhou Evergrande,China
525,Jang Hyun-soo,South Korea,DF,1991-09-28,26,51,FC Tokyo,Japan
526,Kim Jin-hyeon,South Korea,GK,1987-07-06,30,15,Cerezo Osaka,Japan
527,Go Yo-han,South Korea,DF,1988-03-10,30,20,FC Seoul,South Korea
528,Jo Hyeon-woo,South Korea,GK,1991-09-25,26,6,Daegu FC,South Korea
529,Robin Olsen,Sweden,GK,1990-01-08,28,18,Copenhagen,Denmark
530,Mikael Lustig,Sweden,DF,1986-12-13,31,66,Celtic,Scotland
531,Victor Lindelöf,Sweden,DF,1994-07-17,23,21,Manchester United,England
532,Andreas Granqvist,Sweden,DF,1985-04-16,33,72,Krasnodar,Russia
533,Martin Olsson,Sweden,DF,1988-05-17,30,43,Swansea City,Wales
534,Ludwig Augustinsson,Sweden,DF,1994-04-21,24,15,Werder Bremen,Germany
535,Sebastian Larsson,Sweden,MF,1985-06-06,33,100,Hull City,England
536,Albin Ekdal,Sweden,MF,1989-07-28,28,34,Hamburger SV,Germany
537,Marcus Berg,Sweden,FW,1986-08-17,31,57,Al Ain,United Arab Emirates
538,Emil Forsberg,Sweden,MF,1991-10-23,26,36,RB Leipzig,Germany
539,John Guidetti,Sweden,FW,1992-04-15,26,20,Alavés,Spain
540,Karl-Johan Johnsson,Sweden,GK,1990-01-28,28,5,Guingamp,France
541,Gustav Svensson,Sweden,MF,1987-02-07,31,13,Seattle Sounders FC,United States
542,Filip Helander,Sweden,DF,1993-04-22,25,4,Bologna,Italy
543,Oscar Hiljemark,Sweden,MF,1992-06-28,25,22,Genoa,Italy
544,Emil Krafth,Sweden,DF,1994-08-02,23,13,Bologna,Italy
545,Viktor Claesson,Sweden,MF,1992-01-02,26,22,Krasnodar,Russia
546,Pontus Jansson,Sweden,DF,1991-02-13,27,15,Leeds United,England
547,Marcus Rohdén,Sweden,MF,1991-05-11,27,12,Crotone,Italy
548,Ola Toivonen,Sweden,FW,1986-07-03,31,59,Toulouse,France
549,Jimmy Durmaz,Sweden,MF,1989-03-22,29,45,Toulouse,France
550,Isaac Kiese Thelin,Sweden,FW,1992-06-24,25,20,Waasland-Beveren,Belgium
551,Kristoffer Nordfeldt,Sweden,GK,1989-06-23,28,8,Swansea City,Wales
552,Thibaut Courtois,Belgium,GK,1992-05-11,26,58,Chelsea,England
553,Toby Alderweireld,Belgium,DF,1989-03-02,29,77,Tottenham Hotspur,England
554,Thomas Vermaelen,Belgium,DF,1985-11-14,32,66,Barcelona,Spain
555,Vincent Kompany,Belgium,DF,1986-04-10,32,77,Manchester City,England
556,Jan Vertonghen,Belgium,DF,1987-04-24,31,102,Tottenham Hotspur,England
557,Axel Witsel,Belgium,MF,1989-01-12,29,90,Tianjin Quanjian,China
558,Kevin De Bruyne,Belgium,MF,1991-06-28,26,62,Manchester City,England
559,Marouane Fellaini,Belgium,MF,1987-11-22,30,82,Manchester United,England
560,Romelu Lukaku,Belgium,FW,1993-05-13,25,69,Manchester United,England
561,Eden Hazard,Belgium,FW,1991-01-07,27,86,Chelsea,England
562,Yannick Carrasco,Belgium,MF,1993-09-04,24,26,Dalian Yifang,China
563,Simon Mignolet,Belgium,GK,1988-03-06,30,21,Liverpool,England
564,Koen Casteels,Belgium,GK,1992-06-25,25,0,VfL Wolfsburg,Germany
565,Dries Mertens,Belgium,FW,1987-05-06,31,69,Napoli,Italy
566,Thomas Meunier,Belgium,DF,1991-09-12,26,25,Paris Saint-Germain,France
567,Thorgan Hazard,Belgium,MF,1993-03-29,25,11,Borussia Mönchengladbach,Germany
568,Youri Tielemans,Belgium,MF,1997-05-07,21,9,Monaco,France
569,Adnan Januzaj,Belgium,FW,1995-02-05,23,8,Real Sociedad,Spain
570,Mousa Dembélé,Belgium,MF,1987-07-16,30,76,Tottenham Hotspur,England
571,Dedryck Boyata,Belgium,DF,1990-11-28,27,7,Celtic,Scotland
572,Michy Batshuayi,Belgium,FW,1993-10-02,24,16,Borussia Dortmund,Germany
573,Nacer Chadli,Belgium,MF,1989-08-02,28,45,West Bromwich Albion,England
574,Leander Dendoncker,Belgium,DF,1995-04-15,23,5,Anderlecht,Belgium
575,Jordan Pickford,England,GK,1994-03-07,24,3,Everton,England
576,Kyle Walker,England,DF,1990-05-28,28,35,Manchester City,England
577,Danny Rose,England,DF,1990-07-02,27,18,Tottenham Hotspur,England
578,Eric Dier,England,MF,1994-01-15,24,26,Tottenham Hotspur,England
579,John Stones,England,DF,1994-05-28,24,26,Manchester City,England
580,Harry Maguire,England,DF,1993-03-05,25,5,Leicester City,England
581,Jesse Lingard,England,MF,1992-12-15,25,12,Manchester United,England
582,Jordan Henderson,England,MF,1990-06-17,27,39,Liverpool,England
583,Harry Kane,England,FW,1993-07-28,24,24,Tottenham Hotspur,England
584,Raheem Sterling,England,FW,1994-12-08,23,38,Manchester City,England
585,Jamie Vardy,England,FW,1987-01-11,31,22,Leicester City,England
586,Kieran Trippier,England,DF,1990-09-19,27,7,Tottenham Hotspur,England
587,Jack Butland,England,GK,1993-03-10,25,8,Stoke City,England
588,Danny Welbeck,England,FW,1990-11-26,27,39,Arsenal,England
589,Gary Cahill,England,DF,1985-12-19,32,60,Chelsea,England
590,Phil Jones,England,DF,1992-02-21,26,25,Manchester United,England
591,Fabian Delph,England,DF,1989-11-21,28,11,Manchester City,England
592,Ashley Young,England,DF,1985-07-09,32,34,Manchester United,England
593,Marcus Rashford,England,FW,1997-10-31,20,19,Manchester United,England
594,Dele Alli,England,MF,1996-04-11,22,25,Tottenham Hotspur,England
595,Ruben Loftus-Cheek,England,MF,1996-01-23,22,4,Crystal Palace,England
596,Trent Alexander-Arnold,England,DF,1998-10-07,19,1,Liverpool,England
597,Nick Pope,England,GK,1992-04-19,26,1,Burnley,England
598,Jaime Penedo,Panama,GK,1981-09-26,36,131,Dinamo București,Romania
599,Michael Amir Murillo,Panama,DF,1996-02-11,22,22,New York Red Bulls,United States
600,Harold Cummings,Panama,DF,1992-03-01,26,52,San Jose Earthquakes,United States
601,Fidel Escobar,Panama,DF,1995-01-09,23,23,New York Red Bulls,United States
602,Román Torres,Panama,DF,1986-03-20,32,111,Seattle Sounders FC,United States
603,Gabriel Gómez,Panama,MF,1984-05-29,34,144,Atlético Bucaramanga,Colombia
604,Blas Pérez,Panama,FW,1981-03-13,37,118,Municipal,Guatemala
605,Édgar Bárcenas,Panama,MF,1993-10-23,24,29,Tapachula,Mexico
606,Gabriel Torres,Panama,FW,1988-10-31,29,72,Huachipato,Chile
607,Ismael Díaz,Panama,FW,1997-05-12,21,11,Deportivo Fabril,Spain
608,Armando Cooper,Panama,MF,1987-11-26,30,98,Universidad de Chile,Chile
609,José Calderón,Panama,GK,1985-08-14,32,31,Chorrillo,Panama
610,Adolfo Machado,Panama,DF,1985-02-14,33,76,Houston Dynamo,United States
611,Valentín Pimentel,Panama,MF,1991-05-30,27,23,Plaza Amador,Panama
612,Erick Davis,Panama,DF,1991-03-31,27,38,Dunajská Streda,Slovakia
613,Abdiel Arroyo,Panama,FW,1993-12-13,24,33,Alajuelense,Costa Rica
614,Luis Ovalle,Panama,DF,1988-09-07,29,25,CD Olimpia,Honduras
615,Luis Tejada,Panama,FW,1982-03-28,36,105,Sport Boys,Peru
616,Ricardo Ávila,Panama,MF,1997-02-04,21,5,Gent,Belgium
617,Aníbal Godoy,Panama,MF,1990-02-10,28,88,San Jose Earthquakes,United States
618,José Luis Rodríguez,Panama,MF,1998-06-19,19,2,Gent,Belgium
619,Álex Rodríguez,Panama,GK,1990-08-05,27,6,San Francisco,Panama
620,Felipe Baloy,Panama,DF,1981-02-24,37,102,Municipal,Guatemala
621,Farouk Ben Mustapha,Tunisia,GK,1989-07-01,28,15,Al-Shabab,Saudi Arabia
622,Syam Ben Youssef,Tunisia,DF,1989-03-31,29,42,Kasımpaşa,Turkey
623,Yohan Benalouane,Tunisia,DF,1987-03-28,31,4,Leicester City,England
624,Yassine Meriah,Tunisia,DF,1993-07-02,24,16,CS Sfaxien,Tunisia
625,Oussama Haddadi,Tunisia,DF,1992-01-28,26,9,Dijon,France
626,Rami Bedoui,Tunisia,DF,1990-01-19,28,8,Étoile du Sahel,Tunisia
627,Saîf-Eddine Khaoui,Tunisia,FW,1995-04-27,23,5,Troyes,France
628,Fakhreddine Ben Youssef,Tunisia,FW,1991-06-23,26,39,Al-Ettifaq,Saudi Arabia
629,Anice Badri,Tunisia,MF,1990-09-18,27,7,Espérance,Tunisia
630,Wahbi Khazri,Tunisia,FW,1991-02-08,27,35,Rennes,France
631,Dylan Bronn,Tunisia,DF,1995-06-19,22,5,Gent,Belgium
632,Ali Maâloul,Tunisia,DF,1990-01-01,28,46,Al Ahly,Egypt
633,Ferjani Sassi,Tunisia,MF,1992-03-18,26,39,Al-Nassr,Saudi Arabia
634,Mohamed Amine Ben Amor,Tunisia,MF,1992-05-03,26,26,Al-Ahli,Saudi Arabia
635,Ahmed Khalil,Tunisia,FW,1994-12-21,23,3,Club Africain,Tunisia
636,Aymen Mathlouthi,Tunisia,GK,1984-09-14,33,70,Al-Batin,Saudi Arabia
637,Ellyes Skhiri,Tunisia,MF,1995-05-10,23,5,Montpellier,France
638,Bassem Srarfi,Tunisia,FW,1997-06-25,20,5,Nice,France
639,Saber Khalifa,Tunisia,FW,1986-10-14,31,44,Club Africain,Tunisia
640,Ghailene Chaalali,Tunisia,FW,1994-02-28,24,6,Espérance,Tunisia
641,Hamdi Nagguez,Tunisia,DF,1992-10-28,25,15,Zamalek,Egypt
642,Mouez Hassen,Tunisia,GK,1995-03-05,23,3,Châteauroux,France
643,Naïm Sliti,Tunisia,FW,1992-07-27,25,17,Dijon,France
644,David Ospina,Colombia,GK,1988-08-31,29,86,Arsenal,England
645,Cristián Zapata,Colombia,DF,1986-09-30,31,55,Milan,Italy
646,Óscar Murillo,Colombia,DF,1988-04-18,30,13,Pachuca,Mexico
647,Santiago Arias,Colombia,DF,1992-01-13,26,41,PSV Eindhoven,Netherlands
648,Wílmar Barrios,Colombia,MF,1993-10-16,24,10,Boca Juniors,Argentina
649,Carlos Sánchez,Colombia,MF,1986-02-06,32,85,Espanyol,Spain
650,Carlos Bacca,Colombia,FW,1986-09-08,31,45,Villarreal,Spain
651,Abel Aguilar,Colombia,MF,1985-01-06,33,70,Deportivo Cali,Colombia
652,Radamel Falcao,Colombia,FW,1986-02-10,32,73,Monaco,France
653,James Rodríguez,Colombia,MF,1991-07-12,26,63,Bayern Munich,Germany
654,Juan Cuadrado,Colombia,MF,1988-05-26,30,70,Juventus,Italy
655,Camilo Vargas,Colombia,GK,1989-03-09,29,5,Deportivo Cali,Colombia
656,Yerry Mina,Colombia,DF,1994-09-23,23,12,Barcelona,Spain
657,Luis Muriel,Colombia,FW,1991-04-16,27,18,Sevilla,Spain
658,Mateus Uribe,Colombia,MF,1991-03-21,27,8,América,Mexico
659,Jefferson Lerma,Colombia,MF,1994-10-25,23,5,Levante,Spain
660,Johan Mojica,Colombia,DF,1992-08-21,25,4,Girona,Spain
661,Farid Díaz,Colombia,DF,1983-07-20,34,13,Olimpia,Paraguay
662,Miguel Borja,Colombia,FW,1993-01-26,25,7,Palmeiras,Brazil
663,Juan Fernando Quintero,Colombia,MF,1993-01-18,25,15,River Plate,Argentina
664,José Izquierdo,Colombia,FW,1992-07-07,25,5,Brighton & Hove Albion,England
