home_win,attack_diff,bup_dribbling_diff,bup_passing_diff,bup_speed_diff,cc_crossing_diff,cc_passing_diff,cc_shooting_diff,d_aggresion_diff,d_pressure_diff,d_width_diff,defence_diff,full_age_diff,goalkeeeper_overall_diff,growth_diff,midfield_diff,overall_diff,prestige_diff,start_age_diff,value_euros_millions_diff,wage_euros_thousands_diff,attack_home_defence_away_diff,attack_away_defence_home_diff,cur_year_avg_weighted_diff,cur_year_avg_diff,last_year_avg_weighted_diff,last_year_avg_diff,previous_points_diff,rank_change_diff,rank_diff,three_year_ago_avg_diff,three_year_ago_weighted_diff,total_points_diff,two_year_ago_avg_diff,two_year_ago_weighted_diff
1,-0.0,-0.0,-0.0,20.0,5.0,5.0,-0.0,-0.0,-5.0,10.0,-2.0,-1.129999999999999,-9.0,1.1333333333333346,-1.0,-3.0,-4.0,-0.08999999999999986,-0.0,-0.0,-1.0,1.0,-0.0,-0.0,-0.0,-0.0,-163.0,-0.0,21.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,4.0,-0.0,-5.0,20.0,5.0,25.0,-0.0,-0.0,-15.0,10.0,-0.0,-2.2600000000000016,-4.0,1.1333333333333346,3.0,-0.0,-1.0,-0.0,-0.0,-0.0,3.0,-1.0,-0.0,-0.0,-0.0,-0.0,-39.0,1.0,4.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-5.0,-0.0,-15.0,-0.0,-25.0,-40.0,-30.0,-20.0,15.0,-5.0,-4.0,-0.07000000000000028,1.0,-0.866666666666668,-6.0,-4.0,-2.0,-1.0899999999999999,-0.0,-0.0,-2.0,7.0,-0.0,-0.0,-0.0,-0.0,152.0,-4.0,-15.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-11.0,-0.0,5.0,-0.0,-5.0,-0.0,-0.0,-0.0,15.0,-10.0,-4.0,-0.03999999999999915,-8.0,1.4333333333333318,-11.0,-7.0,-9.0,0.35999999999999943,-0.0,-0.0,-8.0,7.0,-0.0,-0.0,-0.0,-0.0,-142.0,-9.0,24.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-11.0,-0.0,20.0,-0.0,-15.0,-40.0,-30.0,15.0,-0.0,-0.0,-12.0,-0.7000000000000028,-7.0,0.2666666666666666,-10.0,-10.0,-8.0,-2.2699999999999996,-0.0,-0.0,-10.0,13.0,-0.0,-0.0,-0.0,-0.0,-654.0,3.0,10.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-2.0,-0.0,5.0,-20.0,10.0,-0.0,-4.0,25.0,-35.0,-25.0,-6.0,0.29999999999999716,-12.0,-0.25333333333333385,-1.0,-4.0,-3.0,-1.2699999999999996,-0.0,-0.0,-1.0,7.0,-0.0,-0.0,-0.0,-0.0,-390.0,-0.0,3.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-6.0,-0.0,-0.0,-0.0,10.0,-0.0,-0.0,5.0,-35.0,-0.0,-3.0,1.0,-11.0,-0.4666666666666668,-0.0,-2.0,-4.0,-0.2699999999999996,-0.0,-0.0,-5.0,4.0,-0.0,-0.0,-0.0,-0.0,-362.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,1.0,-0.0,20.0,-20.0,30.0,-35.0,-40.0,-15.0,-5.0,-0.0,1.0,-0.870000000000001,-0.0,-0.13703703703703685,5.0,1.0,5.0,-1.0899999999999999,-0.0,-0.0,3.0,1.0,-0.0,-0.0,-0.0,-0.0,146.0,-0.0,-18.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,8.0,-0.0,-10.0,2.0,20.0,-10.0,-30.0,-15.0,-5.0,-0.0,7.0,-0.3299999999999983,12.0,-0.2666666666666666,11.0,8.0,11.0,0.8200000000000003,-0.0,-0.0,10.0,-5.0,-0.0,-0.0,-0.0,-0.0,362.0,1.0,-26.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-2.0,-0.0,32.0,-0.0,-23.0,-11.0,-0.0,16.0,28.0,-13.0,1.0,-1.5299999999999976,9.0,-0.20000000000000107,-2.0,-1.0,1.0,-1.629999999999999,-0.0,-0.0,3.0,4.0,-0.0,-0.0,-0.0,-0.0,88.0,-0.0,-2.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-7.0,-0.0,30.0,-25.0,10.0,-40.0,-40.0,-0.0,-0.0,-15.0,-4.0,0.3000000000000007,1.0,-0.5037037037037049,-6.0,-7.0,-5.0,-0.17999999999999972,-0.0,-0.0,-2.0,9.0,-0.0,-0.0,-0.0,-0.0,-116.0,-1.0,6.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-1.0,-0.0,20.0,20.0,10.0,20.0,20.0,20.0,-0.0,-0.0,-6.0,0.5,5.0,0.09999999999999964,-1.0,-0.0,-1.0,2.719999999999999,-0.0,-0.0,-3.0,4.0,-0.0,-0.0,-0.0,-0.0,116.0,1.0,-16.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-1.0,-0.0,20.0,20.0,15.0,15.0,15.0,20.0,5.0,10.0,-4.0,-3.030000000000001,-1.0,0.9333333333333336,-5.0,-2.0,-2.0,-4.190000000000001,-0.0,-0.0,-3.0,2.0,-0.0,-0.0,-0.0,-0.0,-297.0,-2.0,35.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,9.0,-0.0,-15.0,-0.0,20.0,20.0,16.0,10.0,-15.0,-15.0,2.0,-0.6000000000000014,3.0,-1.8200000000000003,8.0,5.0,5.0,-0.8200000000000003,-0.0,-0.0,7.0,-4.0,-0.0,-0.0,-0.0,-0.0,454.0,1.0,-32.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-2.0,-0.0,20.0,20.0,10.0,15.0,20.0,20.0,20.0,-5.0,-7.0,-0.03999999999999915,-7.0,-0.6259259259259258,-1.0,-3.0,-4.0,-1.0,-0.0,-0.0,-4.0,5.0,-0.0,-0.0,-0.0,-0.0,-398.0,8.0,47.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,1.0,-0.0,20.0,20.0,-5.0,20.0,20.0,10.0,20.0,15.0,-0.0,-1.0,7.0,-1.2333333333333325,1.0,1.0,1.0,-1.6400000000000006,-0.0,-0.0,-1.0,-2.0,-0.0,-0.0,-0.0,-0.0,120.0,1.0,-17.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-1.0,-0.0,20.0,-0.0,15.0,40.0,30.0,20.0,-20.0,-10.0,-2.0,2.1000000000000014,-3.0,1.3999999999999995,-0.0,1.0,-1.0,4.539999999999999,-0.0,-0.0,1.0,4.0,-0.0,-0.0,-0.0,-0.0,-67.0,-0.0,6.0,-0.0,-0.0,-0.0,-0.0,-0.0
