team,date,wage_euros_thousands,value_euros_millions,growth,goalkeeeper_overall
Peru,2017-07-06 00:00:00+00:00,6.304347826086956,1.2097826086956522,3.3043478260869565,74
Peru,2017-07-10 00:00:00+00:00,6.304347826086956,1.2097826086956522,3.3043478260869565,74
Peru,2017-07-13 00:00:00+00:00,6.304347826086956,1.2097826086956522,3.217391304347826,74
Peru,2017-07-17 00:00:00+00:00,6.304347826086956,1.2097826086956522,3.217391304347826,74
Peru,2017-07-20 00:00:00+00:00,6.304347826086956,1.2097826086956522,3.217391304347826,74
Peru,2017-07-24 00:00:00+00:00,6.304347826086956,1.2097826086956522,3.217391304347826,74
Peru,2017-07-27 00:00:00+00:00,6.304347826086956,1.2054347826086957,3.1739130434782608,74
Peru,2017-07-31 00:00:00+00:00,6.304347826086956,1.2054347826086957,3.1739130434782608,74
Peru,2017-08-03 00:00:00+00:00,6.304347826086956,1.2054347826086957,3.1739130434782608,74
Peru,2017-08-10 00:00:00+00:00,6.826086956521739,1.2282608695652175,3.1739130434782608,74
Peru,2017-08-14 00:00:00+00:00,6.826086956521739,1.2282608695652175,3.1739130434782608,74
Peru,2017-08-17 00:00:00+00:00,6.826086956521739,1.2282608695652175,3.1739130434782608,74
Peru,2017-08-22 00:00:00+00:00,6.826086956521739,1.2282608695652175,3.1739130434782608,74
Peru,2017-08-24 00:00:00+00:00,6.826086956521739,1.2282608695652175,3.1739130434782608,74
Peru,2017-08-28 00:00:00+00:00,6.826086956521739,1.2282608695652175,3.1739130434782608,74
Peru,2017-08-31 00:00:00+00:00,6.826086956521739,1.2282608695652175,3.1739130434782608,74
Peru,2017-09-04 00:00:00+00:00,6.826086956521739,1.2282608695652175,3.1739130434782608,74
Peru,2017-09-07 00:00:00+00:00,6.826086956521739,1.2282608695652175,3.1739130434782608,74
Peru,2017-09-11 00:00:00+00:00,6.826086956521739,1.2282608695652175,3.1739130434782608,74
Peru,2017-09-13 00:00:00+00:00,6.826086956521739,1.2282608695652175,3.1739130434782608,74
Peru,2017-09-18 00:00:00+00:00,6.826086956521739,1.2282608695652175,3.1739130434782608,74
Peru,2017-09-20 00:00:00+00:00,6.826086956521739,1.241304347826087,3.1739130434782608,74
Peru,2017-09-21 00:00:00+00:00,7.217391304347826,2.1597826086956524,3.4347826086956523,74
Peru,2017-09-25 00:00:00+00:00,7.217391304347826,2.1597826086956524,3.4347826086956523,74
Peru,2017-09-28 00:00:00+00:00,7.3478260869565215,2.1923913043478263,3.4347826086956523,74
Peru,2017-10-02 00:00:00+00:00,7.3478260869565215,2.1923913043478263,3.4347826086956523,74
Peru,2017-10-05 00:00:00+00:00,7.913043478260869,2.2869565217391306,3.608695652173913,74
