game_date,home_team,away_team,home_score,away_score,tournament,country,neutral,overall_diff,attack_away_defence_home_diff,attack_diff,attack_home_defence_away_diff,defence_diff,midfield_diff,rank_diff,prestige_diff,growth_diff,full_age_diff,start_age_diff,value_euros_millions_diff,wage_euros_thousands_diff,goalkeeper_overall_diff,bup_dribbling_diff,bup_passing_diff,bup_speed_diff,cc_crossing_diff,cc_passing_diff,cc_shooting_diff,d_aggresion_diff,d_pressure_diff,d_width_diff,home_win,wins_past_1_games_diff,wins_home_against_away_1_games,wins_past_2_games_diff,wins_home_against_away_2_games,wins_past_3_games_diff,wins_home_against_away_3_games,wins_past_4_games_diff,wins_home_against_away_4_games,wins_past_5_games_diff,wins_home_against_away_5_games,score_past_1_games_diff,score_conceded_past_1_games_diff,score_past_2_games_diff,score_conceded_past_2_games_diff,score_past_3_games_diff,score_conceded_past_3_games_diff,score_past_4_games_diff,score_conceded_past_4_games_diff,score_past_5_games_diff,score_conceded_past_5_games_diff
2006-10-07 00:00:00+00:00,Sweden,Spain,2,0,UEFA Euro qualification,Sweden,False,-9.0,12.0,-8.0,-4.0,-8.0,-9.0,8.0,-6.0,-0.34782608695652195,0.9600000000000009,2.5500000000000007,-0.0,-0.0,-6.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
2006-10-10 00:00:00+00:00,Brazil,Ecuador,2,1,Friendly,Sweden,True,15.0,-15.0,14.0,17.0,18.0,17.0,-29.0,9.0,-5.1808695652173915,-0.5999999999999979,-0.91,-0.0,-0.0,23.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0
2006-10-11 00:00:00+00:00,Spain,Argentina,2,1,Friendly,Spain,False,2.0,2.0,2.0,3.0,-1.0,2.0,7.0,-1.0,-1.4452173913043476,0.14999999999999858,-2.3599999999999994,-0.0,-0.0,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,-1.5,-3.0,-1.5,-3.0,-1.5,-3.0,-1.5,-3.0
2006-10-11 00:00:00+00:00,Ukraine,Scotland,2,0,UEFA Euro qualification,Ukraine,False,1.0,9.0,1.0,3.0,-7.0,-3.0,-21.0,3.0,-0.04347826086956541,-0.259999999999998,-0.91,-0.0,-0.0,3.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,1.0,-2.0,1.0,-2.0,1.0,-2.0,1.0,-2.0,1.0
2006-10-11 00:00:00+00:00,Austria,Switzerland,2,1,Friendly,Austria,False,-3.0,4.0,-6.0,-7.0,-5.0,-7.0,56.0,-1.0,-1.217391304347827,-0.2200000000000024,-0.7300000000000004,-0.0,-0.0,9.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-11 00:00:00+00:00,Poland,Portugal,2,1,UEFA Euro qualification,Poland,False,-7.0,10.0,-4.0,-7.0,-13.0,-10.0,26.0,-4.0,-0.26086956521739113,-0.3000000000000007,1.09,-0.0,-0.0,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,-1.0,0.0,-0.5,0.0,-0.5,0.0,-0.5,0.0,-0.5,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2006-10-11 00:00:00+00:00,Croatia,England,2,0,UEFA Euro qualification,Croatia,False,-8.0,8.0,-4.0,-6.0,-10.0,-11.0,20.0,-6.0,0.4573913043478264,1.4399999999999975,1.09,-0.0,-0.0,-9.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-15 00:00:00+00:00,Switzerland,Brazil,1,2,Friendly,Switzerland,False,-9.0,7.0,-8.0,-9.0,-8.0,-11.0,14.0,-9.0,2.9634782608695653,-0.5700000000000003,-0.7199999999999989,-0.0,-0.0,-18.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1,-1.0,0.0,-0.5,0.0,-0.3333333333333333,0.0,-0.3333333333333333,0.0,-0.3333333333333333,0.0,-1.0,1.0,-1.0,1.5,-1.0,2.0,-1.0,2.0,-1.0,2.0
2006-11-15 00:00:00+00:00,France,Greece,1,0,Friendly,France,False,8.0,-6.0,11.0,10.0,5.0,3.0,-11.0,5.0,3.0,-1.3000000000000007,-0.7300000000000004,-0.0,-0.0,8.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,-1.0,0.0,-0.5,0.0,-0.5,0.0,-0.5,0.0,-0.5,0.0,-1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
2006-11-15 00:00:00+00:00,Italy,Turkey,1,1,Friendly,Italy,False,6.0,-4.0,5.0,11.0,10.0,7.0,-19.0,7.0,-1.5182608695652178,2.2300000000000004,2.8200000000000003,-0.0,-0.0,13.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
